zeit;1-A001-SW-HF-099-429;2-A001-SW-HF-099-1672;3-A001-SW-HF-100-449;4-A001-SW-HF-100-612;5-A001-SW-HF-100-1719;6-A001-SW-HF-101-723;8-A001-SW-HF-101-3932;9-A001-SW-HF-102-14;11-A001-SW-HF-102-2141;14-A001-SW-HF-103-764;16-A001-SW-HF-103-2822;17-A001-SW-HF-103-3539;19-A004-NO-HF-011-96;20-A004-NO-HF-011-2225;21-A004-NO-HF-011-3247;22-A004-NO-HF-011-4211;23-A004-NO-HF-011-5316;24-A004-NO-HF-S11-400;25-A004-NO-HF-012-107;26-A004-NO-HF-012-1997;27-A004-NO-HF-012-2663;28-A004-NO-HF-013-989;29-A004-NO-HF-013-2589;30-A004-NO-HF-014-432;31-A004-NO-HF-014-1783;32-A004-NO-HF-015-979;33-A004-NO-HF-015-2176;34-A003-NO-HF-027-1379;35-A003-NO-HF-027-2246;36-A003-NO-HF-026-435;38-A003-NO-HF-026-1600;39-A003-NO-HF-025-852;40-A003-NO-HF-025-1808;41-A003-NO-HF-024-786;42-A003-NO-HF-024-930;44-A003-NO-HF-024-2873;45-A003-NO-HF-024-4199;46-A003-NO-HF-023-476;47-A003-NO-HF-023-1778
26.08.2014 18:03:00+00;24;9;43;34;23;26;23;24;29;27;25;26;27;28;29;32;40;28;26;45;42;43;37;38;28;30;24;53;41;56;61;47;50;57;47;54;51;57;51
26.08.2014 18:04:00+00;25;9;42;38;26;31;24;28;24;28;25;24;31;33;31;29;34;25;27;44;43;43;39;40;33;32;28;56;41;56;64;46;47;57;47;56;53;51;49
26.08.2014 18:05:00+00;24;8;42;35;28;32;29;32;25;23;26;22;35;35;33;31;30;26;29;41;40;43;38;44;35;31;27;57;41;55;60;48;49;55;46;52;50;54;50
26.08.2014 18:06:00+00;24;9;38;35;27;32;32;34;25;25;28;24;36;36;34;34;31;28;26;37;42;49;40;42;33;34;27;61;41;58;64;50;51;56;48;54;52;47;45
26.08.2014 18:07:00+00;23;10;39;31;27;33;32;33;25;26;26;25;34;32;34;33;32;34;27;38;38;40;41;44;36;34;25;56;43;58;62;56;51;52;51;54;45;55;49
26.08.2014 18:08:00+00;24;11;38;32;25;33;31;32;27;24;26;25;29;33;32;34;33;32;25;43;43;44;36;40;34;36;26;57;41;55;64;52;52;54;51;56;49;55;44
26.08.2014 18:09:00+00;25;12;42;31;24;30;31;31;26;29;27;23;31;34;30;31;35;31;29;43;42;44;38;40;37;32;26;56;42;55;56;49;48;57;50;58;47;58;43
26.08.2014 18:10:00+00;28;10;41;34;20;29;29;30;29;26;27;21;30;33;31;30;34;26;28;45;44;49;38;39;34;31;24;60;42;56;58;50;47;59;48;54;51;54;43
26.08.2014 18:11:00+00;24;10;44;32;23;28;30;28;25;28;27;23;32;36;31;30;32;26;30;42;41;48;40;41;33;29;25;57;46;57;56;48;48;58;45;52;51;53;45
26.08.2014 18:12:00+00;23;8;42;36;24;28;29;30;27;26;25;21;36;38;33;32;33;26;26;39;38;44;39;43;32;29;27;59;41;59;61;53;47;53;47;53;51;49;47
26.08.2014 18:13:00+00;21;10;38;35;28;30;28;28;28;24;26;23;36;38;36;34;35;29;27;39;36;45;39;44;28;31;28;56;43;59;59;51;50;49;48;52;45;52;43
26.08.2014 18:14:00+00;23;9;40;32;26;32;28;31;30;25;28;20;36;35;37;40;34;32;25;41;38;43;40;44;32;32;26;55;40;55;59;54;49;50;52;56;45;52;40
26.08.2014 18:15:00+00;22;8;36;33;24;27;29;30;24;26;27;22;32;31;35;39;37;34;25;43;39;44;37;43;32;36;22;50;38;53;55;52;51;55;51;57;46;56;41
26.08.2014 18:16:00+00;20;7;37;30;23;28;29;27;24;27;26;19;31;34;31;36;36;32;25;44;43;39;36;41;36;32;21;49;34;48;55;50;51;58;51;57;51;55;45
26.08.2014 18:17:00+00;17;8;31;31;25;25;27;27;27;27;27;20;36;32;33;31;33;26;26;41;43;42;33;38;34;31;23;50;32;50;50;48;46;58;47;54;50;55;46
26.08.2014 18:18:00+00;18;7;29;27;24;26;27;25;30;28;29;24;32;36;33;35;28;24;28;38;41;44;33;35;31;26;27;56;36;50;48;41;46;56;47;49;50;53;43
26.08.2014 18:19:00+00;17;8;30;25;20;23;25;26;29;27;27;28;36;35;34;34;30;28;26;36;37;45;37;37;29;26;28;59;36;55;49;40;41;54;41;51;47;51;43
26.08.2014 18:20:00+00;19;9;30;26;16;23;26;25;28;29;29;26;31;34;33;36;30;28;25;37;38;41;37;40;28;29;25;56;42;55;53;43;42;49;43;49;44;48;38
26.08.2014 18:21:00+00;20;10;37;25;16;22;21;21;27;28;28;25;36;34;32;33;33;32;25;39;37;38;39;41;32;31;25;52;43;53;62;49;44;49;41;50;43;48;40
26.08.2014 18:22:00+00;19;10;39;31;18;23;22;21;24;27;25;25;34;35;33;34;32;28;25;38;38;40;36;42;31;34;24;52;42;53;63;50;48;49;47;49;42;47;37
26.08.2014 18:23:00+00;18;7;36;33;23;27;21;23;20;23;19;25;35;39;33;34;35;28;25;36;35;43;38;39;35;33;23;53;39;52;61;47;48;50;44;51;44;49;40
26.08.2014 18:24:00+00;18;6;33;30;24;27;24;27;19;22;19;21;35;35;38;37;31;27;26;35;39;45;34;37;32;30;26;52;37;49;56;48;46;51;46;54;45;52;36
26.08.2014 18:25:00+00;20;6;31;29;23;28;26;29;20;18;19;19;31;29;34;36;31;31;27;36;36;45;36;38;33;27;27;53;40;53;52;44;45;52;45;52;46;52;37
26.08.2014 18:26:00+00;17;6;33;27;21;22;26;24;23;20;22;19;29;27;31;35;31;31;21;36;36;43;39;43;31;28;29;57;40;56;60;48;43;51;45;52;45;49;39
26.08.2014 18:27:00+00;19;6;28;29;20;25;22;23;25;20;21;19;26;25;26;29;29;29;21;37;34;40;38;41;32;30;24;56;48;62;61;53;45;50;45;47;45;50;42
26.08.2014 18:28:00+00;16;7;30;27;19;25;23;23;26;23;22;19;26;30;26;30;29;24;23;35;34;37;35;37;33;29;20;52;45;51;69;54;51;49;50;54;46;47;41
26.08.2014 18:29:00+00;19;7;24;27;19;25;23;25;24;25;24;19;28;31;26;28;28;22;24;34;34;33;29;33;28;28;18;50;42;48;59;56;52;52;50;57;43;55;41
26.08.2014 18:30:00+00;19;9;30;24;20;25;22;23;25;26;24;21;30;30;29;28;27;22;26;32;30;36;31;32;28;27;21;50;36;48;53;46;52;61;52;59;49;55;37
26.08.2014 18:31:00+00;20;9;31;25;21;24;24;23;24;25;25;18;29;29;29;29;28;27;21;32;32;36;32;31;27;27;22;50;36;48;49;46;43;57;43;54;52;58;45
26.08.2014 18:32:00+00;19;10;37;27;18;23;24;24;21;23;22;19;29;29;27;28;31;27;20;33;32;37;31;35;30;25;22;48;36;49;53;39;43;59;43;45;51;50;43
26.08.2014 18:33:00+00;17;9;33;31;20;22;24;22;22;21;22;17;30;32;29;29;33;26;20;36;36;32;30;35;29;26;22;45;34;45;52;45;41;49;42;48;45;47;46
26.08.2014 18:34:00+00;20;8;28;28;22;24;20;22;22;21;23;16;32;34;32;30;29;25;23;36;36;33;27;34;31;28;21;45;33;43;49;42;44;52;43;48;41;44;38
26.08.2014 18:35:00+00;18;8;29;27;19;25;23;24;19;23;22;15;31;34;35;32;28;28;24;34;32;33;29;34;29;27;21;47;31;47;45;38;41;47;42;50;40;45;36
26.08.2014 18:36:00+00;19;8;30;24;16;23;25;22;21;21;21;14;33;32;32;34;30;27;23;34;35;35;26;30;27;27;25;51;35;49;49;35;37;48;37;44;38;46;34
26.08.2014 18:37:00+00;18;10;35;27;17;21;24;20;21;22;18;16;31;30;33;33;35;28;22;34;34;36;29;32;26;22;25;55;38;53;51;43;36;48;37;40;41;43;36
26.08.2014 18:38:00+00;21;11;32;28;18;22;21;20;24;20;22;16;30;33;30;33;32;29;25;37;35;39;32;30;27;23;27;57;44;52;57;46;39;43;40;40;40;39;39
26.08.2014 18:39:00+00;24;10;34;25;20;24;21;22;22;22;22;19;31;33;32;29;31;29;25;38;34;37;33;36;25;26;21;54;45;55;58;51;44;44;44;46;41;42;36
26.08.2014 18:40:00+00;24;8;36;27;20;22;22;23;21;19;22;18;31;29;32;34;25;29;24;36;35;42;30;36;28;28;20;52;42;51;60;47;47;44;47;52;41;49;37
26.08.2014 18:41:00+00;22;6;36;30;20;25;21;22;20;19;19;15;29;25;31;33;29;30;24;32;34;39;34;39;29;29;18;46;39;49;60;49;45;50;48;56;44;53;35
26.08.2014 18:42:00+00;16;8;35;31;25;29;23;27;18;19;17;12;24;25;25;32;30;29;22;32;33;39;33;37;31;27;20;45;35;45;55;45;44;53;45;54;48;54;41
26.08.2014 18:43:00+00;16;7;31;31;23;31;25;30;18;16;17;11;23;25;25;24;31;24;20;35;33;32;33;37;30;29;20;46;33;47;52;43;42;56;43;51;50;50;45
26.08.2014 18:44:00+00;18;8;29;26;23;30;29;30;18;18;18;11;25;26;24;25;26;21;23;37;35;32;28;33;33;28;24;50;35;49;49;42;41;48;37;46;48;46;48
26.08.2014 18:45:00+00;21;6;30;25;19;24;26;28;20;17;21;11;29;29;28;26;22;20;23;31;33;37;29;31;27;24;26;53;37;50;51;43;42;49;39;42;42;40;43
26.08.2014 18:46:00+00;20;6;37;25;17;23;27;24;21;20;22;13;29;27;30;30;26;22;24;27;27;40;32;34;24;22;24;52;40;51;56;42;42;42;38;44;39;42;39
26.08.2014 18:47:00+00;19;6;36;28;20;21;24;24;25;22;25;17;27;29;30;31;31;24;18;29;29;41;35;35;25;23;20;46;40;50;55;43;45;47;45;44;38;41;34
26.08.2014 18:48:00+00;16;6;35;27;22;25;23;21;25;24;23;21;28;30;31;27;33;24;23;35;32;33;33;38;28;27;19;49;32;46;56;44;45;46;43;49;37;47;34
26.08.2014 18:49:00+00;15;6;30;29;21;26;23;26;28;25;27;20;30;32;30;28;30;25;23;37;35;35;29;31;32;28;25;48;32;47;45;42;46;49;47;49;42;46;33
26.08.2014 18:50:00+00;10;7;27;25;18;26;24;25;25;26;24;24;32;31;32;30;30;25;24;34;34;35;28;30;28;27;28;55;35;53;44;42;41;50;42;49;44;50;39
26.08.2014 18:51:00+00;14;9;23;20;15;24;26;24;23;25;25;23;32;30;30;34;31;28;20;32;32;37;30;32;27;25;24;54;39;52;48;39;39;50;40;44;45;45;42
26.08.2014 18:52:00+00;16;9;24;18;16;19;22;22;16;20;17;22;30;30;30;33;29;27;20;34;34;34;33;36;22;24;19;44;42;45;54;43;38;46;41;41;42;42;42
26.08.2014 18:53:00+00;20;10;31;19;17;17;19;19;19;16;19;19;30;30;29;31;32;28;22;33;31;33;30;31;23;27;19;45;35;41;56;40;42;42;42;43;37;42;38
26.08.2014 18:54:00+00;19;8;33;27;19;17;17;19;19;20;19;18;29;30;27;30;30;25;23;34;31;33;28;29;24;21;19;37;32;41;48;37;41;43;43;51;36;45;36
26.08.2014 18:55:00+00;18;9;34;28;22;26;16;19;21;21;21;17;27;26;29;28;30;26;22;33;34;32;28;28;25;22;22;46;28;39;47;36;39;47;37;45;40;47;37
26.08.2014 18:56:00+00;19;8;28;28;20;27;23;26;20;20;21;14;26;29;26;28;25;25;22;38;39;33;26;30;22;21;22;43;34;44;44;37;37;46;37;41;42;41;39
26.08.2014 18:57:00+00;19;10;33;25;19;27;30;27;21;19;20;11;26;27;28;27;27;24;23;32;34;33;27;30;24;21;20;47;35;46;48;36;38;42;37;40;38;39;38
26.08.2014 18:58:00+00;22;10;34;28;15;23;31;27;21;20;21;9;27;27;25;28;26;25;22;32;32;39;30;30;21;21;21;44;37;46;49;39;39;39;37;42;35;39;34
26.08.2014 18:59:00+00;21;11;41;29;18;21;23;22;21;21;18;7;29;27;27;26;31;24;23;32;32;37;32;34;24;21;20;49;35;48;48;43;41;40;39;41;36;41;33
26.08.2014 19:00:00+00;20;10;40;34;19;21;21;23;21;21;21;8;28;27;29;27;29;24;20;36;35;36;29;31;23;26;20;48;36;47;47;36;39;41;39;44;37;43;33
26.08.2014 19:01:00+00;20;9;34;31;22;27;22;23;20;19;19;9;27;27;29;29;28;25;24;32;35;35;31;35;26;25;22;48;34;44;48;39;38;43;36;42;39;43;35
26.08.2014 19:02:00+00;17;6;34;28;22;27;24;26;23;20;24;8;28;28;29;29;29;24;20;29;30;35;30;33;25;27;23;47;33;44;46;35;37;43;36;42;41;40;37
26.08.2014 19:03:00+00;18;6;31;29;19;27;28;26;22;21;22;7;25;26;30;28;32;25;19;33;32;33;33;36;29;25;24;49;32;47;45;39;38;43;36;41;39;42;35
26.08.2014 19:04:00+00;15;6;29;26;19;27;28;26;22;20;22;7;25;25;28;26;30;25;21;34;34;33;29;35;28;27;23;50;36;51;41;36;39;44;38;40;38;40;35
26.08.2014 19:05:00+00;16;9;25;26;17;25;28;27;18;21;19;10;25;26;28;23;24;22;24;34;35;36;30;29;27;23;22;52;37;48;52;41;37;41;35;42;35;40;35
26.08.2014 19:06:00+00;14;9;27;20;17;22;27;25;20;16;18;13;28;27;27;26;22;22;23;30;32;36;30;29;25;25;23;50;39;50;52;41;41;43;34;38;38;40;35
26.08.2014 19:07:00+00;16;9;27;22;15;19;26;21;21;19;21;15;27;27;26;26;27;21;18;25;26;31;30;31;28;23;22;47;33;48;56;41;43;39;39;44;35;37;35
26.08.2014 19:08:00+00;16;11;32;25;17;18;20;16;20;20;20;16;25;26;24;29;30;24;15;30;29;30;27;32;28;25;20;43;35;50;47;39;45;38;39;42;32;44;33
26.08.2014 19:09:00+00;20;12;30;27;18;22;16;17;18;21;19;11;24;29;23;23;31;24;18;32;31;28;27;30;26;22;20;48;34;46;48;38;42;44;40;47;39;44;34
26.08.2014 19:10:00+00;23;12;33;27;19;23;20;23;20;19;20;10;27;29;26;25;25;22;21;35;32;33;23;27;24;24;20;49;37;49;48;40;40;47;38;45;40;50;37
26.08.2014 19:11:00+00;27;9;35;27;18;25;24;25;22;21;21;5;28;30;29;26;26;25;20;31;30;34;27;29;25;21;21;52;38;49;49;38;40;48;37;47;46;42;40
26.08.2014 19:12:00+00;25;9;38;26;20;23;25;24;21;21;22;6;28;25;30;31;31;25;20;31;29;37;28;30;26;24;23;50;38;50;51;41;39;47;35;45;39;42;40
26.08.2014 19:13:00+00;20;9;38;32;22;26;22;22;17;20;20;8;25;22;28;30;30;26;21;34;35;35;29;34;27;23;23;49;37;48;49;43;42;44;36;42;39;41;35
26.08.2014 19:14:00+00;19;8;33;32;24;28;23;24;17;16;17;11;19;21;25;25;32;24;25;35;36;36;30;33;26;25;23;53;36;51;49;43;42;43;39;44;37;38;35
26.08.2014 19:15:00+00;17;5;33;29;23;27;22;26;19;16;20;15;18;20;22;20;24;22;22;36;35;38;33;35;27;26;22;50;41;49;49;44;44;40;43;45;36;44;35
26.08.2014 19:16:00+00;16;6;29;27;20;25;26;28;22;19;20;18;20;23;21;18;21;19;22;30;31;36;32;35;26;28;22;49;39;49;54;43;42;44;42;48;37;45;32
26.08.2014 19:17:00+00;15;6;28;23;18;24;25;26;23;23;23;17;24;25;21;19;21;17;18;31;29;33;31;35;26;26;20;48;37;46;54;43;40;48;40;46;40;50;35
26.08.2014 19:18:00+00;17;7;26;22;18;22;22;25;18;21;18;15;24;27;23;23;22;19;19;29;28;34;30;34;26;25;18;48;35;46;53;40;41;52;41;47;47;45;39
26.08.2014 19:19:00+00;15;6;28;22;19;21;24;22;17;20;18;14;26;27;27;24;24;20;18;29;30;36;29;34;27;25;19;51;34;48;49;37;39;48;37;45;43;45;42
26.08.2014 19:20:00+00;16;6;28;25;18;23;21;23;19;19;20;12;24;26;27;27;28;22;21;29;28;34;29;35;28;25;22;49;34;47;45;35;38;46;38;44;45;42;39
26.08.2014 19:21:00+00;15;5;32;25;18;22;24;22;20;23;19;11;27;26;25;28;29;23;20;30;31;33;29;33;29;24;24;52;35;48;46;36;37;44;34;40;41;41;37
26.08.2014 19:22:00+00;15;5;28;26;19;26;21;23;20;18;20;9;25;24;25;26;31;22;24;34;32;31;28;34;26;23;22;52;36;53;45;37;38;39;35;39;41;38;36
26.08.2014 19:23:00+00;14;4;29;25;19;22;23;24;19;17;18;11;24;23;22;25;27;23;22;33;35;34;28;28;24;20;22;56;38;52;51;43;37;37;34;38;34;40;35
26.08.2014 19:24:00+00;14;3;27;25;17;21;24;21;22;16;21;15;20;20;23;24;25;21;24;32;32;34;28;34;20;20;18;50;39;51;46;42;44;39;38;42;33;38;33
26.08.2014 19:25:00+00;14;5;28;22;16;19;22;22;20;18;21;17;20;22;21;23;22;22;21;28;28;36;30;31;20;23;18;48;35;44;47;38;44;39;40;46;33;39;31
26.08.2014 19:26:00+00;16;5;26;23;18;20;20;17;18;17;19;18;21;24;21;21;22;18;18;29;27;34;29;34;23;25;16;40;34;45;43;36;39;47;38;45;35;44;31
26.08.2014 19:27:00+00;15;8;27;23;17;20;17;19;18;16;17;16;26;25;22;23;23;20;17;27;28;33;30;31;25;25;18;41;31;41;47;34;37;45;36;40;38;44;36
26.08.2014 19:28:00+00;18;7;24;24;17;21;19;19;23;15;18;14;26;24;24;24;23;21;17;30;30;30;29;31;25;25;20;44;31;45;45;40;39;44;35;40;38;39;38
26.08.2014 19:29:00+00;17;9;30;21;17;19;17;19;23;17;22;10;22;24;24;25;24;23;22;28;29;31;26;30;25;24;20;45;31;43;47;38;43;37;38;42;35;40;33
26.08.2014 19:30:00+00;20;7;29;24;15;20;18;20;19;21;23;7;24;21;25;25;25;20;21;31;28;31;24;25;22;24;20;46;32;43;45;39;42;41;37;41;35;38;26
26.08.2014 19:31:00+00;17;7;34;24;17;19;17;19;14;17;18;6;22;25;25;24;25;18;22;30;30;31;23;25;22;23;19;47;33;42;46;37;39;42;36;39;35;40;30
26.08.2014 19:32:00+00;16;6;29;27;18;21;19;23;16;16;17;5;24;23;23;24;26;20;18;29;30;31;25;26;22;20;22;46;33;45;43;37;35;40;34;38;36;38;30
26.08.2014 19:33:00+00;16;7;28;24;21;20;20;23;17;16;16;8;23;25;23;24;24;20;17;29;28;30;26;30;22;21;19;43;34;45;48;37;38;38;34;36;33;38;30
26.08.2014 19:34:00+00;17;7;29;24;20;24;21;25;17;18;19;13;25;25;23;22;24;19;16;27;29;29;28;30;23;19;20;43;32;41;50;40;37;38;34;35;31;36;25
26.08.2014 19:35:00+00;17;7;29;23;17;23;23;24;17;19;17;16;25;25;25;26;21;19;19;26;26;29;27;30;20;21;20;42;31;43;51;41;42;36;36;39;29;37;26
26.08.2014 19:36:00+00;19;9;29;23;16;23;21;23;18;16;18;15;24;21;23;24;23;21;18;26;28;26;26;27;20;23;22;48;33;40;47;45;43;39;39;44;32;37;27
26.08.2014 19:37:00+00;20;7;29;24;15;21;23;21;19;17;17;14;19;21;20;24;25;22;18;29;27;28;24;30;24;22;19;43;38;45;46;41;42;40;40;47;33;42;30
26.08.2014 19:38:00+00;20;6;32;27;17;20;22;20;19;18;19;15;23;23;20;20;24;19;18;29;27;29;26;29;23;20;20;41;34;39;49;39;38;45;41;44;37;44;31
26.08.2014 19:39:00+00;17;3;33;29;19;21;21;20;18;20;18;16;22;23;23;22;20;17;21;28;29;29;24;31;23;19;18;40;34;40;44;37;37;42;35;42;38;45;34
26.08.2014 19:40:00+00;13;5;28;27;21;24;20;21;17;18;18;16;22;19;24;23;21;19;21;25;28;31;27;27;24;21;18;41;29;39;45;36;35;45;35;38;40;41;36
26.08.2014 19:41:00+00;14;6;23;23;19;24;22;25;15;16;16;14;17;17;20;23;23;19;18;24;24;30;23;28;21;21;15;44;31;42;41;34;38;40;35;41;38;40;37
26.08.2014 19:42:00+00;17;6;26;19;15;22;23;24;16;15;16;10;17;18;18;20;23;19;16;27;25;29;24;24;21;18;13;40;30;41;42;33;36;38;36;39;37;38;34
26.08.2014 19:43:00+00;20;6;28;21;11;15;20;20;18;16;16;8;16;17;17;18;23;16;16;26;25;28;24;25;20;16;14;43;29;40;38;33;35;38;35;37;37;38;32
26.08.2014 19:44:00+00;20;5;33;23;13;15;17;14;20;17;17;7;16;18;15;17;19;15;15;28;28;31;22;24;20;21;16;36;31;39;39;35;35;36;35;37;34;35;32
26.08.2014 19:45:00+00;18;6;35;27;16;17;17;16;18;17;18;7;18;19;17;16;16;15;17;23;28;29;25;29;23;19;16;37;28;36;39;35;36;38;34;37;33;36;30
26.08.2014 19:46:00+00;17;6;32;27;19;21;18;20;19;20;21;10;19;20;19;17;14;15;13;20;24;29;23;26;25;23;16;36;30;35;36;33;34;38;34;41;32;37;28
26.08.2014 19:47:00+00;16;8;28;27;18;22;21;23;21;18;19;15;20;25;23;19;17;15;13;19;23;25;23;24;25;20;17;38;28;36;37;29;32;40;31;35;34;38;30
26.08.2014 19:48:00+00;18;7;26;24;16;21;23;22;21;21;21;16;21;23;24;20;20;17;12;23;22;22;21;23;21;19;19;42;29;36;37;28;27;39;30;34;35;32;31
26.08.2014 19:49:00+00;17;6;30;23;15;19;22;20;19;18;17;16;21;23;23;23;21;18;18;23;21;21;17;21;23;18;16;38;31;39;38;29;29;33;28;31;31;32;31
26.08.2014 19:50:00+00;16;6;32;26;15;20;18;19;17;17;16;14;23;20;22;22;21;20;16;26;23;24;17;22;22;15;14;34;29;33;39;32;28;32;29;34;30;32;29
26.08.2014 19:51:00+00;17;4;28;27;19;22;18;20;17;15;17;12;21;20;21;22;23;20;16;24;21;26;20;21;21;15;13;30;26;32;36;33;33;33;30;34;29;35;28
26.08.2014 19:52:00+00;14;4;28;26;16;23;19;24;17;16;18;12;22;23;19;22;22;20;12;28;25;24;22;24;19;18;16;35;23;33;35;30;30;35;33;36;29;34;27
26.08.2014 19:53:00+00;15;4;28;21;18;22;22;22;15;14;15;11;21;22;21;22;24;17;13;28;24;23;21;24;21;20;16;36;26;37;38;28;32;34;32;36;29;35;28
26.08.2014 19:54:00+00;14;6;26;22;13;20;15;22;16;15;15;11;23;23;21;21;19;18;15;25;23;26;19;23;22;18;17;36;27;36;37;28;31;34;32;36;31;35;28
26.08.2014 19:55:00+00;17;6;26;21;13;19;20;19;18;14;18;11;21;20;24;21;19;19;17;21;22;26;22;24;20;15;18;38;26;36;39;30;29;36;29;36;32;34;30
26.08.2014 19:56:00+00;16;7;26;20;13;20;18;20;20;17;21;14;20;18;21;23;18;22;16;22;23;26;22;26;17;17;20;39;30;40;36;30;32;37;29;35;33;33;30
26.08.2014 19:57:00+00;14;5;26;23;12;17;21;18;21;19;19;16;17;14;16;21;21;22;16;22;22;26;22;24;20;18;19;39;31;39;41;28;31;35;30;36;32;34;30
26.08.2014 19:58:00+00;12;6;22;23;12;17;17;17;18;18;18;17;14;14;15;18;22;18;13;27;25;25;23;23;19;19;16;34;33;35;41;31;36;35;28;32;30;35;28
26.08.2014 19:59:00+00;13;5;18;21;12;16;17;16;18;18;18;15;15;16;16;15;20;15;16;25;23;23;21;25;19;18;12;37;29;35;40;34;34;32;32;35;30;31;26
26.08.2014 20:00:00+00;14;5;20;17;13;17;14;17;16;16;17;15;12;14;16;16;16;13;19;25;24;26;18;22;19;17;14;37;27;35;41;33;35;34;33;35;28;34;23
26.08.2014 20:01:00+00;14;6;23;17;12;13;17;16;16;15;16;12;12;14;15;14;14;13;20;20;22;28;22;23;20;15;13;34;27;38;41;34;31;35;31;35;31;33;26
26.08.2014 20:02:00+00;13;7;24;19;11;13;13;14;14;16;16;12;14;17;15;14;14;10;17;18;23;31;24;25;18;18;15;38;25;35;45;32;31;35;30;31;30;33;28
26.08.2014 20:03:00+00;15;9;24;21;12;15;14;14;15;15;14;12;17;20;18;14;14;13;13;16;23;27;28;30;18;20;11;38;28;35;41;33;30;32;28;32;32;30;30
26.08.2014 20:04:00+00;16;8;25;20;11;16;13;15;13;13;14;12;20;19;21;17;16;14;11;18;25;25;25;31;22;23;12;35;26;29;39;34;34;31;30;34;28;30;29
26.08.2014 20:05:00+00;16;7;25;21;13;17;15;16;16;14;15;13;18;18;20;18;18;16;10;19;25;23;19;25;24;22;12;30;25;31;38;32;31;32;31;37;27;30;27
26.08.2014 20:06:00+00;15;6;28;22;14;19;16;17;16;15;17;14;18;16;17;18;18;17;12;22;26;20;18;21;24;18;13;33;23;34;34;30;32;32;31;32;27;35;27
26.08.2014 20:07:00+00;15;5;26;25;16;20;15;19;16;15;17;14;15;15;18;19;20;16;14;22;25;22;16;21;20;18;13;36;23;34;34;26;28;33;30;34;32;31;26
26.08.2014 20:08:00+00;14;5;28;23;19;21;18;19;15;14;13;15;17;19;17;17;20;16;15;25;25;24;18;19;19;15;11;36;23;33;34;28;29;33;26;28;30;31;27
26.08.2014 20:09:00+00;13;6;24;24;17;21;17;22;16;13;14;12;17;18;17;18;19;12;16;23;25;26;21;20;17;16;13;33;23;31;34;27;29;30;26;32;27;27;26
26.08.2014 20:10:00+00;12;7;22;22;18;21;21;19;15;13;14;13;18;21;18;18;20;15;16;23;25;31;23;22;18;18;12;36;24;36;32;25;29;28;26;32;24;31;26
26.08.2014 20:11:00+00;13;7;21;20;14;21;18;22;16;15;17;13;19;19;19;18;19;15;17;22;24;28;25;27;18;18;13;34;24;36;30;25;26;32;26;32;27;32;24
26.08.2014 20:12:00+00;12;7;20;19;14;18;22;19;16;14;14;15;18;17;18;21;22;17;17;25;24;27;24;28;19;22;10;33;24;35;35;27;25;32;25;30;30;32;27
26.08.2014 20:13:00+00;16;6;21;17;11;18;22;20;19;14;15;11;17;18;17;17;23;16;17;27;25;25;22;27;23;20;13;33;22;31;37;28;27;32;27;28;29;27;26
26.08.2014 20:14:00+00;17;6;28;18;9;15;21;16;19;16;17;8;17;20;17;17;20;16;17;26;26;23;23;26;23;19;14;39;21;34;35;26;30;30;27;29;26;27;28
26.08.2014 20:15:00+00;18;6;29;21;13;16;16;14;18;19;18;4;20;23;17;19;21;15;18;25;26;30;22;26;22;18;16;39;26;37;32;25;28;28;27;31;25;28;28
26.08.2014 20:16:00+00;16;6;30;25;15;20;16;17;17;17;18;5;21;21;21;19;20;15;16;23;28;30;24;25;21;15;14;37;28;36;36;24;26;30;26;29;25;29;24
26.08.2014 20:17:00+00;14;4;25;25;17;23;17;20;18;19;17;4;20;21;19;23;21;17;18;25;26;30;25;28;18;18;16;35;27;36;37;27;24;29;25;29;26;28;23
26.08.2014 20:18:00+00;13;5;22;23;15;24;22;24;18;19;18;4;19;19;22;18;21;18;17;25;28;27;25;27;18;18;16;38;28;38;35;28;28;31;25;25;26;25;22
26.08.2014 20:19:00+00;9;6;18;20;15;24;23;23;17;19;17;4;18;19;18;21;20;20;16;22;24;24;23;26;19;19;15;36;27;38;38;32;29;26;27;30;24;26;23
26.08.2014 20:20:00+00;11;7;15;17;12;23;22;22;14;16;16;3;18;19;18;18;20;18;13;22;22;24;21;25;18;19;15;33;24;35;35;28;33;26;29;28;22;27;21
26.08.2014 20:21:00+00;12;5;19;15;10;20;24;21;13;12;13;4;16;15;18;19;19;16;13;23;22;22;22;24;19;19;16;34;23;31;36;28;28;27;27;34;23;30;19
26.08.2014 20:22:00+00;13;5;22;16;8;22;20;18;15;13;14;3;16;19;16;18;19;14;14;24;22;24;19;22;17;17;17;40;26;33;32;25;28;32;27;31;25;31;21
26.08.2014 20:23:00+00;12;5;20;19;12;17;19;19;13;14;12;5;16;16;18;16;17;13;16;23;22;22;20;20;17;18;18;44;29;41;35;27;25;33;24;31;27;31;24
26.08.2014 20:24:00+00;14;8;17;17;13;21;18;20;14;13;13;4;18;19;18;16;16;14;16;21;26;25;20;20;16;15;15;38;32;41;38;30;29;32;25;28;27;29;26
26.08.2014 20:25:00+00;17;7;19;16;12;17;21;21;13;15;14;4;20;18;20;16;16;15;15;20;26;25;22;23;15;15;15;33;27;35;42;31;34;27;28;28;25;27;24
